Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2011-04-09 12:20:00","Creag Meagaidh","TR  & SR","430885","750","100","28","Inner Corrie, Coire Ardair","13.50","180.00","15.00","5","0 - None","0","61","6.00","","0","","","","Low","Low","0","0.00","1","14","","20","","2","","0.00","One or two cornices remain. Isothermal snowpack.",
"2011-04-08 13:20:00","Creag Meagaidh","KM, TR","443893","790","40","25","Coire a' Chriochairein","6.50","210.00","10.00","30","0 - None","0","86","10.00","","0","","","","Low","Low","0","0.00","2","14","0","20","0","2","","0.00","",
"2011-04-07 12:45:00","Creag Meagaidh","KG","428886","915","110","30","The window","2.20","230.00","20.00","100","2 - Trace","0","215","4.00","","1","","","","Low","Low","0","0.00","3","14","2","20","0","2","","0.00","nil",
"2011-04-06 12:25:00","Creag Meagaidh","TR","429885","850","90","34","The Window. Inner Corrie","9.00","230.00","50.00","100","0 - None","0","65","20.00","","1","","","","Low","Moderate","0","0.00","1","12","","20","","10","","0.00","Very wet day.",
"2011-04-05 13:05:00","Creag Meagaidh","KM","426884","980","45","43","The Window","2.60","240.00","25.00","100","0 - None","0","215","20.00","","1","","","","Moderate","Moderate","2021","0.00","1","12","","20","0","2","","0.00","Nil.",
"2011-04-04 14:00:00","Creag Meagaidh","TR","454880","850","80","36","Bealach a Ghoire","2.00","225.00","40.00","100","6 - Snow Showers","1","70","40.00","","1","","","","Considerable -","Considerable +","4400","0.00","1","12","6","","","2","","0.00","Rain on new snow in afternoon.",
"2011-04-03 13:40:00","Creag Meagaidh","TR","42786","900","100","36","The Window","0.00","225.00","35.00","90","6 - Snow Showers","1","100","20.00","","0","","","","Moderate","Moderate","0","0.00","2","306","6","20","5","1","","-0.90","Moderate shears in humid windslab. Some drifting between showers.",
"2011-04-02 13:25:00","Creag Meagaidh","TR","497914","840","40","37","Coire Dubh","2.00","270.00","15.00","70","2 - Trace","0","70","13.00","","0","","","","Moderate","Considerable -","0","0.00","1","300","2","20","","2","","0.00","Trace of snow over summits. Thawing snowpack.",
"2011-04-01 13:10:00","Creag Meagaidh","TR","437857","780","110","29","Meall Coire Choile Rais shoulder","10.10","225.00","43.00","100","0 - None","0","54","17.00","","1","","","","Moderate","Moderate","0","0.00","1","298","","","","2","","0.00","Significant ablation at lower altitudes. Wet, isothermal snowpack.",
"2011-03-31 12:10:00","Creag Meagaidh","TR","443895","770","110","33","Lifa Gully, Coire Chriochairein","5.20","270.00","40.00","100","0 - None","0","62","17.00","","1","","","","Moderate","Moderate","0","0.00","1","298","","","","3","","0.00","Very wet weather and poor visibility.",
